# author : J. Bailey
# date_created  : 2026-05-28
# type : detector:quantum_efficiency
# description : quantum efficiency for an LmAPD based on H4RG data with a 1.2x excess noise factor.
# wavelength_unit : um
# action : transmission
# changes :
wavelength  transmission
0.9     0.79655
0.901     0.796975
0.902     0.7974
0.903     0.797825
0.904     0.798241667
0.905     0.798666667
0.906     0.799091667
0.907     0.799508333
0.908     0.799933333
0.909     0.800358333
0.91     0.800775
0.911     0.8012
0.912     0.801533333
0.913     0.801691667
0.914     0.80185
0.915     0.802008333
0.916     0.802175
0.917     0.802333333
0.918     0.802491667
0.919     0.80265
0.92     0.802808333
0.921     0.802975
0.922     0.803133333
0.923     0.803291667
0.924     0.80345
0.925     0.803616667
0.926     0.803775
0.927     0.803933333
0.928     0.804091667
0.929     0.80425
0.93     0.804416667
0.931     0.804575
0.932     0.804733333
0.933     0.804891667
0.934     0.80505
0.935     0.805216667
0.936     0.805375
0.937     0.805516667
0.938     0.805516667
0.939     0.805516667
0.94     0.805516667
0.941     0.805516667
0.942     0.805516667
0.943     0.805516667
0.944     0.805516667
0.945     0.805516667
0.946     0.805516667
0.947     0.805516667
0.948     0.805516667
0.949     0.805516667
0.95     0.805516667
0.951     0.805516667
0.952     0.805516667
0.953     0.805516667
0.954     0.805516667
0.955     0.805516667
0.956     0.805516667
0.957     0.805516667
0.958     0.805516667
0.959     0.805516667
0.96     0.805516667
0.961     0.805541667
0.962     0.805566667
0.963     0.805591667
0.964     0.805616667
0.965     0.80565
0.966     0.805675
0.967     0.8057
0.968     0.805733333
0.969     0.805758333
0.97     0.805783333
0.971     0.805808333
0.972     0.805841667
0.973     0.805866667
0.974     0.805891667
0.975     0.805925
0.976     0.80595
0.977     0.805975
0.978     0.806
0.979     0.806033333
0.98     0.806058333
0.981     0.806083333
0.982     0.806116667
0.983     0.806141667
0.984     0.806166667
0.985     0.806191667
0.986     0.806225
0.987     0.80625
0.988     0.806275
0.989     0.8063
0.99     0.806333333
0.991     0.806358333
0.992     0.806383333
0.993     0.806416667
0.994     0.806441667
0.995     0.806466667
0.996     0.806491667
0.997     0.806525
0.998     0.806333333
0.999     0.806116667
1     0.8059
1.0009     0.805708333
1.002     0.805475
1.003     0.805258333
1.004     0.805041667
1.005     0.804833333
1.0059     0.804641667
1.007     0.8044
1.008     0.804191667
1.009     0.803975
1.01     0.803758333
1.0109     0.803566667
1.012     0.803333333
1.013     0.803116667
1.0139     0.802925
1.015     0.802691667
1.016     0.802475
1.017     0.802266667
1.018     0.80205
1.0189     0.801858333
1.02     0.801616667
1.021     0.801408333
1.022     0.801191667
1.023     0.800975
1.024     0.800766667
1.025     0.80055
1.026     0.800333333
1.027     0.800125
1.028     0.799908333
1.029     0.799691667
1.03     0.799483333
1.031     0.799358333
1.032     0.79925
1.033     0.799141667
1.034     0.799025
1.035     0.798916667
1.036     0.798808333
1.037     0.7987
1.038     0.798583333
1.0389     0.798491667
1.04     0.798366667
1.041     0.798258333
1.042     0.798141667
1.043     0.798033333
1.044     0.797925
1.045     0.797816667
1.046     0.797708333
1.047     0.797591667
1.048     0.797483333
1.049     0.797375
1.05     0.797266667
1.051     0.79715
1.052     0.797041667
1.053     0.796933333
1.054     0.796825
1.055     0.796708333
1.056     0.7966
1.057     0.796491667
1.058     0.796383333
1.059     0.796266667
1.06     0.796158333
1.061     0.79605
1.0619     0.79595
1.063     0.795833333
1.064     0.795716667
1.065     0.795608333
1.066     0.7955
1.067     0.795391667
1.068     0.795275
1.069     0.795166667
1.07     0.795058333
1.071     0.79495
1.072     0.794833333
1.073     0.794725
1.074     0.794616667
1.075     0.794508333
1.076     0.794391667
1.077     0.794283333
1.078     0.794175
1.079     0.794066667
1.08     0.793958333
1.081     0.793841667
1.082     0.793733333
1.083     0.793625
1.084     0.793516667
1.085     0.7934
1.086     0.793291667
1.087     0.793183333
1.088     0.793075
1.089     0.792958333
1.0899     0.792866667
1.091     0.792741667
1.092     0.792633333
1.093     0.792516667
1.094     0.792408333
1.095     0.792316667
1.096     0.792225
1.097     0.792133333
1.098     0.792041667
1.099     0.791958333
1.1     0.791866667
1.101     0.791775
1.102     0.791683333
1.103     0.791591667
1.104     0.7915
1.105     0.791416667
1.106     0.791325
1.107     0.791233333
1.108     0.791141667
1.109     0.79105
1.11     0.790958333
1.111     0.790875
1.112     0.790783333
1.1129     0.7907
1.114     0.7906
1.115     0.790508333
1.116     0.790416667
1.117     0.790333333
1.118     0.790241667
1.119     0.79015
1.12     0.790058333
1.121     0.789966667
1.122     0.789875
1.123     0.789791667
1.124     0.7897
1.125     0.789608333
1.126     0.789516667
1.127     0.789425
1.128     0.789333333
1.129     0.78925
1.13     0.789158333
1.131     0.789066667
1.132     0.788975
1.133     0.788883333
1.134     0.788791667
1.135     0.788708333
1.136     0.788616667
1.137     0.788525
1.138     0.788433333
1.139     0.788341667
1.14     0.78825
1.1409     0.788175
1.142     0.788075
1.143     0.787983333
1.144     0.787891667
1.145     0.787808333
1.146     0.787716667
1.147     0.787625
1.148     0.787533333
1.149     0.78745
1.15     0.787358333
1.151     0.787266667
1.152     0.787175
1.153     0.787091667
1.154     0.787
1.155     0.786908333
1.156     0.786816667
1.157     0.786725
1.158     0.786641667
1.159     0.78655
1.16     0.786458333
1.161     0.786366667
1.162     0.786283333
1.163     0.786191667
1.164     0.7861
1.165     0.786008333
1.166     0.785925
1.167     0.785833333
1.168     0.785741667
1.169     0.78565
1.17     0.785566667
1.171     0.785475
1.172     0.785383333
1.173     0.785291667
1.174     0.785208333
1.175     0.785116667
1.176     0.785025
1.177     0.784933333
1.178     0.78485
1.179     0.784758333
1.18     0.784666667
1.181     0.784575
1.182     0.784483333
1.183     0.7844
1.184     0.784308333
1.185     0.784216667
1.186     0.784125
1.187     0.784041667
1.188     0.78395
1.189     0.783858333
1.19     0.783766667
1.191     0.783683333
1.1919     0.7836
1.193     0.7835
1.194     0.783408333
1.195     0.783325
1.196     0.783241667
1.197     0.783158333
1.198     0.783075
1.199     0.782991667
1.2     0.782916667
1.201     0.782833333
1.202     0.78275
1.203     0.782666667
1.204     0.782591667
1.2049     0.782516667
1.206     0.782425
1.207     0.782341667
1.2079     0.782275
1.209     0.782183333
1.21     0.7821
1.2109     0.782025
1.212     0.781941667
1.213     0.781858333
1.214     0.781775
1.2149     0.7817
1.216     0.781616667
1.217     0.781533333
1.2179     0.781458333
1.219     0.781366667
1.22     0.781291667
1.2209     0.781216667
1.222     0.781125
1.223     0.781041667
1.224     0.780966667
1.225     0.780883333
1.226     0.7808
1.227     0.780716667
1.2279     0.78065
1.229     0.780558333
1.23     0.780475
1.2309     0.7804
1.232     0.780316667
1.233     0.780233333
1.2339     0.780158333
1.235     0.780066667
1.236     0.779991667
1.237     0.779908333
1.2379     0.779833333
1.239     0.779741667
1.24     0.779666667
1.2409     0.779591667
1.242     0.7795
1.243     0.779416667
1.2439     0.77935
1.245     0.779258333
1.246     0.779175
1.247     0.779091667
1.248     0.779016667
1.249     0.778933333
1.25     0.77885
1.2509     0.778775
1.252     0.778683333
1.253     0.778608333
1.2539     0.778533333
1.255     0.778441667
1.256     0.778358333
1.2569     0.778291667
1.258     0.778266667
1.259     0.778283333
1.26     0.7783
1.2609     0.778308333
1.262     0.778325
1.263     0.778341667
1.2639     0.77835
1.265     0.778366667
1.266     0.778383333
1.2669     0.7784
1.268     0.778416667
1.269     0.778425
1.27     0.778441667
1.2709     0.778458333
1.272     0.778466667
1.273     0.778483333
1.2739     0.7785
1.275     0.778516667
1.276     0.778525
1.2769     0.778541667
1.278     0.778558333
1.279     0.778575
1.2799     0.778583333
1.281     0.7786
1.282     0.778616667
1.283     0.778633333
1.2839     0.778641667
1.285     0.778658333
1.286     0.778675
1.2869     0.778683333
1.288     0.7787
1.289     0.778716667
1.2899     0.778725
1.291     0.778741667
1.292     0.778758333
1.293     0.778775
1.2939     0.778783333
1.295     0.7788
1.296     0.778816667
1.2969     0.778833333
1.298     0.778841667
1.299     0.778858333
1.2999     0.778875
1.301     0.778891667
1.302     0.7789
1.303     0.778916667
1.304     0.778933333
1.305     0.77895
1.306     0.778958333
1.3069     0.778975
1.308     0.778991667
1.309     0.779008333
1.3099     0.779016667
1.311     0.779033333
1.312     0.77905
1.3129     0.779058333
1.314     0.779075
1.315     0.779091667
1.316     0.779108333
1.3169     0.779116667
1.318     0.779133333
1.319     0.77915
1.3199     0.779158333
1.321     0.779175
1.322     0.779191667
1.3229     0.779208333
1.324     0.779216667
1.325     0.779233333
1.326     0.77925
1.327     0.779266667
1.328     0.779291667
1.329     0.779333333
1.3299     0.779358333
1.331     0.7794
1.332     0.779433333
1.3329     0.779466667
1.334     0.7795
1.335     0.779541667
1.3359     0.779566667
1.337     0.779608333
1.338     0.779641667
1.339     0.779675
1.3399     0.779708333
1.341     0.77975
1.342     0.779783333
1.3429     0.779816667
1.344     0.77985
1.345     0.779883333
1.3459     0.779916667
1.347     0.779958333
1.348     0.779991667
1.349     0.780025
1.35     0.780058333
1.351     0.780091667
1.352     0.780133333
1.3529     0.780158333
1.354     0.7802
1.355     0.780233333
1.3559     0.780266667
1.357     0.7803
1.358     0.780341667
1.3589     0.780366667
1.36     0.780408333
1.361     0.780441667
1.362     0.780475
1.3629     0.780508333
1.364     0.78055
1.365     0.780583333
1.3659     0.780608333
1.367     0.78065
1.368     0.780683333
1.3689     0.780716667
1.37     0.780758333
1.371     0.780791667
1.372     0.780825
1.3729     0.780858333
1.374     0.780891667
1.375     0.780925
1.3759     0.780958333
1.377     0.781
1.378     0.781033333
1.3789     0.781066667
1.38     0.7811
1.381     0.781133333
1.382     0.781175
1.383     0.781208333
1.384     0.781241667
1.385     0.781275
1.3859     0.7813
1.387     0.781316667
1.388     0.781333333
1.3889     0.78135
1.39     0.781366667
1.391     0.781391667
1.3919     0.7814
1.393     0.781425
1.394     0.781441667
1.395     0.781458333
1.3959     0.781475
1.397     0.781491667
1.398     0.781508333
1.3989     0.781525
1.4     0.781541667
1.401     0.781558333
1.4019     0.781575
1.403     0.781591667
1.404     0.781616667
1.405     0.781633333
1.406     0.78165
1.407     0.781666667
1.408     0.781683333
1.4089     0.7817
1.41     0.781716667
1.411     0.781733333
1.4119     0.78175
1.413     0.781766667
1.414     0.781783333
1.4149     0.7818
1.416     0.781816667
1.417     0.781841667
1.418     0.781858333
1.4189     0.781875
1.42     0.781891667
1.421     0.781908333
1.4219     0.781925
1.423     0.781941667
1.424     0.781958333
1.4249     0.781975
1.426     0.781991667
1.427     0.782008333
1.428     0.782025
1.429     0.782041667
1.43     0.782066667
1.431     0.782083333
1.4319     0.7821
1.433     0.782116667
1.434     0.782133333
1.4349     0.78215
1.436     0.782166667
1.437     0.782183333
1.4379     0.7822
1.439     0.782216667
1.44     0.782233333
1.441     0.78225
1.4419     0.782266667
1.443     0.782291667
1.444     0.782316667
1.4449     0.782366667
1.446     0.782433333
1.447     0.782491667
1.4479     0.782541667
1.449     0.782608333
1.45     0.782666667
1.451     0.782725
1.452     0.782783333
1.453     0.782833333
1.454     0.782891667
1.4549     0.78295
1.456     0.783008333
1.457     0.783066667
1.4579     0.783116667
1.459     0.783183333
1.46     0.783241667
1.4609     0.783291667
1.462     0.783358333
1.463     0.783416667
1.464     0.783475
1.4649     0.783525
1.466     0.783583333
1.467     0.783641667
1.4679     0.7837
1.469     0.783758333
1.47     0.783816667
1.4709     0.783866667
1.472     0.783933333
1.473     0.783991667
1.474     0.78405
1.4749     0.7841
1.476     0.784166667
1.477     0.784225
1.4779     0.784275
1.479     0.784333333
1.48     0.784391667
1.4809     0.78445
1.482     0.784508333
1.483     0.784566667
1.484     0.784625
1.485     0.784683333
1.486     0.784741667
1.487     0.7848
1.4879     0.78485
1.489     0.784916667
1.49     0.784975
1.4909     0.785025
1.492     0.785083333
1.493     0.785141667
1.4939     0.7852
1.495     0.785258333
1.496     0.785316667
1.497     0.785425
1.4979     0.785525
1.499     0.78565
1.5     0.785766667
1.5009     0.785866667
1.502     0.785991667
1.503     0.786108333
1.5039     0.786208333
1.505     0.786333333
1.506     0.78645
1.507     0.786566667
1.508     0.786675
1.509     0.786791667
1.51     0.7869
1.5109     0.787008333
1.512     0.787133333
1.513     0.787241667
1.5139     0.78735
1.515     0.787475
1.516     0.787583333
1.5169     0.787691667
1.518     0.787816667
1.519     0.787925
1.52     0.788041667
1.5209     0.788141667
1.522     0.788266667
1.523     0.788383333
1.5239     0.788483333
1.525     0.788608333
1.526     0.788725
1.5269     0.788825
1.528     0.78895
1.529     0.789066667
1.53     0.789175
1.531     0.789291667
1.532     0.789408333
1.533     0.789516667
1.5339     0.789625
1.535     0.78975
1.536     0.789858333
1.5369     0.789966667
1.538     0.790091667
1.539     0.7902
1.5399     0.790308333
1.541     0.790433333
1.542     0.790541667
1.543     0.790658333
1.5439     0.790758333
1.545     0.790883333
1.546     0.791
1.5469     0.7911
1.548     0.791225
1.549     0.791341667
1.5499     0.791441667
1.551     0.791566667
1.552     0.791683333
1.553     0.791791667
1.554     0.791908333
1.555     0.792025
1.556     0.792133333
1.5569     0.792241667
1.558     0.792366667
1.559     0.79245
1.5599     0.792525
1.561     0.792616667
1.562     0.7927
1.5629     0.792766667
1.564     0.792858333
1.565     0.792941667
1.566     0.793025
1.5669     0.793091667
1.568     0.793183333
1.569     0.793266667
1.5699     0.793341667
1.571     0.793425
1.572     0.793508333
1.5729     0.793583333
1.574     0.793675
1.575     0.79375
1.576     0.793833333
1.5769     0.793908333
1.578     0.794
1.579     0.794075
1.5799     0.79415
1.581     0.794241667
1.582     0.794325
1.5829     0.794391667
1.584     0.794483333
1.585     0.794566667
1.586     0.79465
1.587     0.794725
1.588     0.794808333
1.589     0.794891667
1.5899     0.794966667
1.591     0.79505
1.592     0.795133333
1.5929     0.795208333
1.594     0.7953
1.595     0.795375
1.5959     0.79545
1.597     0.795541667
1.598     0.795625
1.599     0.7957
1.5999     0.795775
1.601     0.795866667
1.602     0.79595
1.6029     0.796016667
1.604     0.796108333
1.605     0.796191667
1.6059     0.796266667
1.607     0.79635
1.608     0.796433333
1.609     0.796516667
1.61     0.7966
1.611     0.796675
1.612     0.796758333
1.6129     0.796833333
1.614     0.796925
1.615     0.797
1.6159     0.797075
1.617     0.797166667
1.618     0.79725
1.6189     0.797316667
1.62     0.797408333
1.621     0.797483333
1.622     0.79755
1.6229     0.797616667
1.624     0.797691667
1.625     0.797758333
1.6259     0.797825
1.627     0.7979
1.628     0.797966667
1.6289     0.798033333
1.63     0.798108333
1.631     0.798175
1.632     0.798241667
1.633     0.798316667
1.634     0.798383333
1.635     0.79845
1.6359     0.798516667
1.637     0.798591667
1.638     0.798658333
1.6389     0.798725
1.64     0.7988
1.641     0.798866667
1.6419     0.798933333
1.643     0.799008333
1.644     0.799075
1.645     0.799141667
1.6459     0.799208333
1.647     0.799283333
1.648     0.79935
1.6489     0.799416667
1.65     0.799491667
1.651     0.799558333
1.6519     0.799625
1.653     0.7997
1.654     0.799766667
1.655     0.799841667
1.6559     0.7999
1.657     0.799975
1.658     0.800041667
1.6589     0.800108333
1.66     0.800183333
1.661     0.80025
1.6619     0.800316667
1.663     0.800391667
1.664     0.800458333
1.665     0.800533333
1.666     0.8006
1.667     0.800666667
1.668     0.800741667
1.6689     0.8008
1.67     0.800875
1.671     0.80095
1.6719     0.801008333
1.673     0.801083333
1.674     0.80115
1.6749     0.801216667
1.676     0.801291667
1.677     0.801358333
1.678     0.801433333
1.6789     0.801491667
1.68     0.801583333
1.681     0.801658333
1.6819     0.801725
1.683     0.801808333
1.684     0.801891667
1.6849     0.801958333
1.686     0.802041667
1.687     0.802116667
1.688     0.8022
1.689     0.802275
1.69     0.80235
1.691     0.802425
1.6919     0.8025
1.693     0.802583333
1.694     0.802658333
1.6949     0.802725
1.696     0.802816667
1.697     0.802891667
1.6979     0.802958333
1.699     0.803041667
1.7     0.803125
1.701     0.8032
1.7019     0.803266667
1.703     0.80335
1.704     0.803433333
1.7049     0.8035
1.706     0.803583333
1.707     0.803658333
1.7079     0.803733333
1.709     0.803816667
1.71     0.803891667
1.711     0.803966667
1.712     0.80405
1.713     0.804125
1.714     0.8042
1.7149     0.804266667
1.716     0.804358333
1.717     0.804433333
1.7179     0.8045
1.719     0.804583333
1.72     0.804666667
1.7209     0.804733333
1.722     0.804816667
1.723     0.804891667
1.724     0.804975
1.7249     0.805041667
1.726     0.805125
1.727     0.8052
1.7279     0.805275
1.729     0.805358333
1.73     0.805433333
1.7309     0.8055
1.732     0.805566667
1.733     0.805625
1.734     0.805683333
1.735     0.805741667
1.736     0.8058
1.737     0.805858333
1.7379     0.805908333
1.739     0.805975
1.74     0.806033333
1.7409     0.806083333
1.742     0.80615
1.743     0.806208333
1.7439     0.806258333
1.745     0.806316667
1.746     0.806375
1.747     0.806433333
1.7479     0.806491667
1.749     0.80655
1.75     0.806608333
1.7509     0.806658333
1.752     0.806725
1.753     0.806783333
1.7539     0.806833333
1.755     0.8069
1.756     0.806958333
1.757     0.807016667
1.7579     0.807066667
1.759     0.807125
1.76     0.807183333
1.7609     0.807241667
1.762     0.8073
1.763     0.807358333
1.7639     0.807408333
1.765     0.807475
1.766     0.807533333
1.767     0.807591667
1.768     0.807658333
1.769     0.807716667
1.77     0.807775
1.7709     0.807833333
1.772     0.8079
1.773     0.807958333
1.7739     0.808016667
1.775     0.808083333
1.776     0.808141667
1.7769     0.8082
1.778     0.808266667
1.779     0.808325
1.78     0.808383333
1.7809     0.808441667
1.782     0.808508333
1.783     0.808566667
1.7839     0.808625
1.785     0.808691667
1.786     0.80875
1.7869     0.808808333
1.788     0.808875
1.789     0.808933333
1.79     0.809
1.791     0.809058333
1.792     0.809116667
1.793     0.809183333
1.7939     0.809233333
1.795     0.8093
1.796     0.809366667
1.7969     0.809416667
1.798     0.809483333
1.799     0.80955
1.7999     0.809591667
1.801     0.80965
1.802     0.8097
1.803     0.80975
1.8039     0.809791667
1.805     0.80985
1.806     0.8099
1.8069     0.809941667
1.808     0.81
1.809     0.81005
1.8099     0.8101
1.811     0.81015
1.812     0.8102
1.813     0.81025
1.814     0.8103
1.815     0.81035
1.816     0.8104
1.8169     0.81045
1.818     0.8105
1.819     0.81055
1.8199     0.8106
1.821     0.81065
1.822     0.810708333
1.8229     0.81075
1.824     0.810808333
1.825     0.810858333
1.826     0.810908333
1.8269     0.81095
1.828     0.811008333
1.829     0.811058333
1.8299     0.8111
1.831     0.811158333
1.832     0.811208333
1.8329     0.81125
1.834     0.811308333
1.835     0.811358333
1.836     0.811408333
1.837     0.811458333
1.838     0.811508333
1.839     0.811558333
1.84     0.811608333
1.841     0.811658333
1.842     0.811708333
1.843     0.811758333
1.844     0.811808333
1.845     0.811858333
1.846     0.811908333
1.847     0.811958333
1.848     0.812008333
1.849     0.812058333
1.8499     0.812108333
1.851     0.812158333
1.852     0.812208333
1.853     0.812258333
1.854     0.812316667
1.855     0.812366667
1.856     0.812416667
1.857     0.812466667
1.858     0.812516667
1.859     0.812566667
1.8599     0.812608333
1.861     0.812666667
1.862     0.812716667
1.863     0.812766667
1.864     0.812816667
1.865     0.812866667
1.866     0.812916667
1.867     0.812966667
1.868     0.813016667
1.869     0.813066667
1.87     0.813116667
1.871     0.813166667
1.872     0.813216667
1.8729     0.813266667
1.874     0.813316667
1.875     0.813366667
1.876     0.813416667
1.877     0.813475
1.878     0.813525
1.879     0.813575
1.88     0.813625
1.881     0.813675
1.882     0.813725
1.8829     0.813766667
1.884     0.813825
