# author : Oliver Czoske
# sources : E-TNT-MPIA-MET-1004, Roy van Boekel
# date_created  : 2018-05-24
# date_modified : 2020-07-14
# type : detector:quantum_efficiency
# status : estimate
# description : Raytheon H2RG quantum efficiency
# action : transmission
# wavelength_unit : um
# changes :
# - 2020-07-23 (OC) Added to IRDB package from SimMETIS v0.3rc1
# notes :
# - Placeholder
# - original filename; METIS_IMG_LM_QE.csv received from Roy on 24 May 2018; it is the same file as used in Roy's fluxes document
#
wavelength  transmission
0.90000    0.95586
0.90100    0.95637
0.90200    0.95688
0.90300    0.95739
0.90400    0.95789
0.90500    0.95840
0.90600    0.95891
0.90700    0.95941
0.90800    0.95992
0.90900    0.96043
0.91000    0.96093
0.91100    0.96144
0.91200    0.96184
0.91300    0.96203
0.91400    0.96222
0.91500    0.96241
0.91600    0.96261
0.91700    0.96280
0.91800    0.96299
0.91900    0.96318
0.92000    0.96337
0.92100    0.96357
0.92200    0.96376
0.92300    0.96395
0.92400    0.96414
0.92500    0.96434
0.92600    0.96453
0.92700    0.96472
0.92800    0.96491
0.92900    0.96510
0.93000    0.96530
0.93100    0.96549
0.93200    0.96568
0.93300    0.96587
0.93400    0.96606
0.93500    0.96626
0.93600    0.96645
0.93700    0.96662
0.93800    0.96662
0.93900    0.96662
0.94000    0.96662
0.94100    0.96662
0.94200    0.96662
0.94300    0.96662
0.94400    0.96662
0.94500    0.96662
0.94600    0.96662
0.94700    0.96662
0.94800    0.96662
0.94900    0.96662
0.95000    0.96662
0.95100    0.96662
0.95200    0.96662
0.95300    0.96662
0.95400    0.96662
0.95500    0.96662
0.95600    0.96662
0.95700    0.96662
0.95800    0.96662
0.95900    0.96662
0.96000    0.96662
0.96100    0.96665
0.96200    0.96668
0.96300    0.96671
0.96400    0.96674
0.96500    0.96678
0.96600    0.96681
0.96700    0.96684
0.96800    0.96688
0.96900    0.96691
0.97000    0.96694
0.97100    0.96697
0.97200    0.96701
0.97300    0.96704
0.97400    0.96707
0.97500    0.96711
0.97600    0.96714
0.97700    0.96717
0.97800    0.96720
0.97900    0.96724
0.98000    0.96727
0.98100    0.96730
0.98200    0.96734
0.98300    0.96737
0.98400    0.96740
0.98500    0.96743
0.98600    0.96747
0.98700    0.96750
