# author : Jeb Bailey
# date_created  : 2026-05-26
# date_modified : 2026-05-29
# status : ZShooter VIS optics throughput list
# type : mirror:list
# outer_unit : m
# inner_unit : m
# angle_unit : degree
# temperature_unit  : deg_C
# changes :
# - 2026-05-26 : replaced placeholder file with ZShooter VIS optics train
# - 2026-05-29 : added throughput_group and emission_phase metadata
#
name                  outer   inner   angle   temperature   action         filename                    throughput_group   emission_phase
VIS_Fold              0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat preoptics          pre_disperser
VIS_PreOptFirst       0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   preoptics          pre_disperser
VIS_ADC_12            0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   preoptics          pre_disperser
VIS_ADC_34            0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   preoptics          pre_disperser
VIS_Derotator_Refl_1  0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat preoptics          pre_disperser
VIS_Derotator_Refl_2  0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat preoptics          pre_disperser
VIS_Derotator_Refl_3  0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat preoptics          pre_disperser
VIS_PreOptFinal       0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   preoptics          pre_disperser
VIS_Col1_1            0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat collimator         pre_disperser
VIS_Col1_2            0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat collimator         pre_disperser
VIS_Mangin_AR         0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   collimator         pre_disperser
VIS_Mangin_Mirror     0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat collimator         pre_disperser
VIS_Col2              0.09    0.0     0       0             reflection     optics/TER_vis_armirror.dat collimator         pre_disperser
VIS_Camera_1          0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   camera             post_disperser
VIS_Camera_2          0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   camera             post_disperser
VIS_Camera_3          0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   camera             post_disperser
VIS_Camera_4          0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   camera             post_disperser
VIS_Camera_5          0.09    0.0     0       0             transmission   optics/TER_vis_arcoat.dat   camera             post_disperser
