# author : Jeb Bailey
# date_created  : 2026-05-26
# date_modified : 2026-05-26
# status : ZShooter VIS optics throughput list
# type : mirror:list
# outer_unit : m
# inner_unit : m
# angle_unit : degree
# temperature_unit  : deg_C
# changes :
# - 2026-05-26 : replaced placeholder file with ZShooter VIS optics train
#
name                  outer   inner   angle   temperature   action         filename
VIS_Fold              0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_PreOptFirst       0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_ADC_12            0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_ADC_34            0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Derotator_AR_1    0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Derotator_AR_2    0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Derotator_Refl_1  0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Derotator_Refl_2  0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Derotator_Refl_3  0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_PreOptFinal       0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Col1_1            0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Col1_2            0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Mangin_AR         0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Mangin_Mirror     0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Col2              0.09    0.0     0       0             reflection     other_optics/TER_vis_armirror.dat
VIS_Camera_1          0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Camera_2          0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Camera_3          0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Camera_4          0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
VIS_Camera_5          0.09    0.0     0       0             transmission   other_optics/TER_vis_arcoat.dat
